number.json,type,content
10540.json,half-true,"['declin', 'coal', 'start', '?', 'start', 'natur', 'ga', 'took', 'start', 'begin', '(', 'presid', 'georg', 'w.', ')', 'bush', 'administr', '.']"
324.json,mostly-true,"['hillari', 'clinton', 'agre', 'john', 'mccain', '``', 'vote', 'give', 'georg', 'bush', 'benefit', 'doubt', 'iran', '.', ""''""]"
1123.json,false,"['health', 'care', 'reform', 'legisl', 'like', 'mandat', 'free', 'sex', 'chang', 'surgeri', '.']"
9028.json,half-true,"['econom', 'turnaround', 'start', 'end', 'term', '.']"
12465.json,true,"['chicago', 'bear', 'start', 'quarterback', 'last', '<num>', 'year', 'total', 'number', 'tenur', '(', 'uw', ')', 'faculti', 'fire', 'last', 'two', 'decad', '.']"
2342.json,barely-true,"['jim', 'dunnam', 'live', 'district', 'repres', 'year', '.']"
153.json,half-true,"[""'m"", 'person', 'stage', 'work', 'activ', 'last', 'year', 'pass', ',', 'along', 'russ', 'feingold', ',', 'toughest', 'ethic', 'reform', 'sinc', 'waterg', '.']"
5602.json,half-true,"['howev', ',', 'took', '$', '<num>', 'million', 'oregon', 'lotteri', 'fund', 'port', 'newport', 'eventu', 'land', 'new', 'noaa', 'marin', 'oper', 'center-pacif', '.']"
9741.json,mostly-true,"['say', 'gop', 'primari', 'oppon', 'glenn', 'grothman', 'joe', 'leibham', 'cast', 'compromis', 'vote', 'cost', '$', '<num>', 'million', 'higher', 'electr', 'cost', '.']"
7115.json,mostly-true,"['first', 'time', 'histori', ',', 'share', 'nation', 'popular', 'vote', 'margin', 'smaller', 'latino', 'vote', 'margin', '.']"
4148.json,half-true,"['sinc', '<num>', ',', 'nearli', '<num>', 'million', 'american', 'slip', 'middl', 'class', 'poverti', '.']"
5947.json,false,"['mitt', 'romney', 'governor', 'massachusett', ',', 'didnt', 'slow', 'rate', 'growth', 'govern', ',', 'actual', 'cut', '.']"
8616.json,mostly-true,"['economi', 'bled', '$', '<num>', 'billion', 'due', 'govern', 'shutdown', '.']"
8705.json,barely-true,"['(', 'afford', 'care', 'act', ')', 'alreadi', 'sens', 'waiv', 'otherwis', 'suspend', '.']"
10683.json,half-true,"['last', 'elect', 'novemb', ',', '...', '<num>', 'percent', 'american', 'peopl', 'chose', 'vote', ',', '...', '<num>', 'percent', 'young', 'peopl', ',', '(', ')', '<num>', 'percent', 'low-incom', 'worker', 'chose', 'vote', '.']"
620.json,true,"['mccain', 'oppos', 'requir', 'govern', 'buy', 'american-mad', 'motorcycl', '.', 'said', 'buy-american', 'provis', 'quot', ""'disgrac"", '.', ""'""]"
3863.json,barely-true,"['u.s.', 'rep.', 'ron', 'kind', ',', 'd-wis.', ',', 'fellow', 'democrat', 'went', 'spend', 'spree', 'credit', 'card', 'max']"
12372.json,half-true,"['water', 'rate', 'manila', ',', 'philippin', ',', 'rais', '<num>', 'percent', 'subsidiari', 'world', 'bank', 'becam', 'partial', 'owner', '.']"
12385.json,mostly-true,"['almost', '<num>', 'peopl', 'left', 'puerto', 'rico', 'last', 'year', '.']"
10173.json,false,"['women', 'men', 'make', 'less', 'adjust', 'inflat', 'john', 'kitzhab', 'first', 'elect', 'governor', '.']"
9867.json,mostly-true,"['unit', 'state', 'highest', 'corpor', 'tax', 'rate', 'free', 'world', '.']"
12408.json,mostly-true,"['best', 'year', 'auto', 'industri', 'america', 'histori', '.']"
2673.json,half-true,"['say', 'scott', 'walker', 'favor', 'cut', '<num>', 'famili', 'children', 'health', 'care', '.']"
7057.json,barely-true,"['say', 'mitt', 'romney', 'want', 'get', 'rid', 'plan', 'parenthood', '.']"
10215.json,false,"['dont', 'know', '(', 'jonathan', 'gruber', ')', '.']"
12517.json,mostly-true,"['hate', 'crime', 'american', 'muslim', 'mosqu', 'tripl', 'pari', 'san', 'bernardino', '.']"
3910.json,half-true,"['rick', 'perri', 'never', 'lost', 'elect', 'remain', 'person', 'texa', 'governorship', 'three', 'time', 'landslid', 'elect', '.']"
11092.json,false,"['isi', 'support', 'tweet', '<num>', ':', '<num>', 'a.m.', 'shoot', 'began', '<num>', ':', '<num>', 'a.m.', 'chattanooga', ',', 'tenn', '.']"
12163.json,mostly-true,"['youth', 'unemploy', 'minor', 'commun', '<num>', '<num>', 'percent', '.']"
13237.json,true,"['say', 'paul', 'ryan', 'still', 'endors', 'trump', '.']"
5383.json,barely-true,"['look', 'state', 'right', 'work', ',', 'constantli', 'budget', 'deficit', 'good', 'busi', 'climat', '.']"
9727.json,false,"['(', 'obama', 'administr', ')', 'go', 'come', 'next', 'sever', 'month', 'your', 'even', 'go', 'abl', 'burn', 'coal', 'limitedli', 'exist', 'plant', '.']"
8239.json,mostly-true,"['cut', 'busi', 'tax', 'today', '<num>', 'percent', 'busi', 'dont', 'pay', 'busi', 'tax', '.']"
10121.json,mostly-true,"['say', 'mark', 'pryor', 'vote', 'obama', '<num>', 'percent', 'time', '.']"
7550.json,true,"['feder', 'govern', 'think', 'author', 'regul', 'toilet', 'seat', '.']"
9018.json,true,"['austin', 'citi', 'basic', 'doubl', 'size', 'everi', '<num>', 'year', 'sinc', 'found', '.']"
1038.json,true,"['nuclear', 'test', 'conduct', 'nation', 'time', 'earth', ""'s"", '<num>', ',054th', 'nuclear', 'test', '.', 'five', 'perman', 'member', 'u.n.', 'secur', 'council', 'conduct', '<num>', 'percent', 'total', 'nuclear', 'test', '.']"
2940.json,pants-fire,"['case', 'catastroph', 'event', ',', 'atlanta-area', 'offic', 'center', 'diseas', 'control', 'prevent', 'self-destruct', '.']"
8492.json,true,"['presid', 'georg', 'w.', 'bush', ',', 'ad', '$', '<num>', 'trillion', 'debt', '.', 'presid', 'obama', 'weve', 'ad', '$', '<num>', 'trillion', 'debt', '.']"
5352.json,false,"['say', 'u.s.', 'suprem', 'court', 'justic', 'suggest', 'u.s.', 'case', 'decid', 'base', 'south', 'african', 'law', '.']"
12027.json,half-true,"['say', 'marco', 'rubio', 'skip', '<num>', 'defens', 'vote', 'includ', 'one', 'arm', 'kurd', 'fight', 'isi', '.']"
5210.json,pants-fire,"['rep.', 'david', 'cicillin', 'respons', 'feder', 'loan', 'guarante', 'solyndra', ',', 'fail', 'solar', 'compani']"
7993.json,pants-fire,"['say', 'ohio', 'budget', 'item', 'later', 'sign', 'law', 'gov', '.', 'john', 'kasich', 'requir', 'women', 'seek', 'abort', 'undergo', 'mandatori', 'vagin', 'probe', '.']"
1926.json,false,"['director', 'homeland', 'secur', 'use', 'use', 'term', ""'terrorist"", 'attack', ""'"", 'instead', 'substitut', ""'man-mad"", 'disast', '.', ""'""]"
11418.json,half-true,"['african-american', 'youth', 'unemploy', '<num>', 'percent', '.', 'hispan', 'youth', 'unemploy', '<num>', 'percent', '.']"
7990.json,pants-fire,"['obamacar', 'provid', 'insur', 'non-u.s.', 'resid', ',', 'even', 'illeg', '.']"
3652.json,false,"['presid', 'barack', 'obama', 'took', 'exactli', 'none', 'deficit', 'reduct', 'commiss', 'idea', '.', 'one', '.']"
12848.json,pants-fire,"['barack', 'obama', 'hillari', 'clinton', 'chang', 'rule', 'engag', 'probabl', 'cost', '(', 'capt', '.', 'humayun', 'khan', ')', 'life', '.']"
13503.json,true,"['hillari', 'clinton', '<num>', 'co-sponsor', 'legisl', 'would', 'jail', 'flag', 'burner', '.']"
4930.json,barely-true,"['say', 'paperback', 'edit', 'mitt', 'romney', 'book', 'delet', 'line', 'massachusett', 'individu', 'mandat', 'model', 'countri']"
13210.json,barely-true,"['maggi', 'hassan', 'rais', 'tuition', ',', 'make', 'highest', 'america', '.']"
8187.json,false,"['say', 'terri', 'mcauliff', 'person', 'invent', 'scheme', 'rent', 'lincoln', 'bedroom', '.']"
12758.json,true,"['creat', '<num>', 'new', 'job', ',', 'cut', 'unemploy', 'rate', 'almost', 'half', 'today', 'new', 'york', 'state', 'privat', 'sector', 'job', 'ever', 'histori']"
10693.json,barely-true,"['town', 'west', 'texa', 'water', ',', 'truck', 'water', '.']"
13077.json,half-true,"['georgia', ',', 'women', 'earn', '<num>', 'cent', 'everi', 'dollar', 'earn', 'men', '.']"
3283.json,half-true,"['feder', 'system', 'verifi', 'employe', 'author', 'work', 'u.s.', 'inaccur', 'anywher', '<num>', 'percent', 'way', 'excess', '<num>', 'percent', 'time', '.']"
12981.json,barely-true,"['go', 'build', 'wall', 'ago', ',', 'long', 'ago', ',', 'like', '<num>', '.', 'couldnt', 'get', 'environment', 'impact', 'statement', '.']"
812.json,false,"['sen.', 'obama', ""'s"", 'campaign', 'announc', ""'s"", 'choos', 'cabinet', '.']"
7548.json,mostly-true,"['<num>', ',', '<num>', 'percent', 'latino', 'texa', 'regist', 'vote', '<num>', 'percent', 'actual', 'turn', '.']"
6000.json,false,"['<num>', 'percent', 'public', 'high', 'school', 'countri', 'offer', 'pe', 'class', '.']"
321.json,mostly-true,"['said', ""'s"", 'republican', 'candid', '``', ""'s"", 'actual', 'turn', 'around', 'govern', 'economi', '.', ""''""]"
1779.json,true,"['militari', 'recruit', 'harvard', ',', 'elena', 'kagan', '``', 'took', 'posit', 'suprem', 'court', 'rule', 'unanim', 'wrong', '.', ""''""]"
1833.json,mostly-true,"['<num>', 'public', 'school', 'teacher', 'texa', '.', '<num>', 'non-teach', 'public', 'school', '.']"
8584.json,false,"['mayor', 'cicillin', ',', '[', 'provid', ']', 'sanctuari', 'citi', '.']"
10829.json,pants-fire,"['transgend', 'individu', 'u.s.', '<num>', '-in-', '<num>', 'chanc', 'murder', '.']"
6612.json,true,"['bain', 'capit', ',', 'help', 'start', 'earli', 'childhood', 'learn', 'compani', 'call', 'bright', 'horizon', 'first', 'ladi', 'michel', 'obama', 'rightli', 'prais', '.']"
12056.json,false,"['say', 'man', 'rush', 'stage', 'dayton', ',', 'ohio', ',', 'chatter', 'isi', ',', 'isi', 'social', 'media', 'post', '.']"
6161.json,barely-true,"['u.s.', 'rep.', 'phil', 'gingrey', 'gave', 'govern', 'power', 'electron', 'spi', 'american', 'without', 'warrant', '.']"
2526.json,barely-true,"['alex', 'sink', 'funnel', 'three', 'quarter', 'million', 'dollar', 'no-bid', 'contract', 'bank', 'america', '.']"
3786.json,true,"['take', 'popul', 'growth', 'virginia', ',', 'net', 'zero', 'job', 'creation', 'sinc', '(', 'bob', 'mcdonnel', ')', 'becam', 'governor', '.']"
6697.json,barely-true,"['obama', ',', 'home', 'valu', 'florida', 'collaps', ',', 'construct', 'job', 'lost', 'state', 'high', 'foreclosur', 'rate', '.']"
1738.json,mostly-true,"['new', 'arizona', 'immigr', 'law', '``', 'say', 'polic', 'offic', 'stop', 'anyon', 'appear', 'reason', 'suspici', 'undocu', 'person', '.', ""''""]"
7425.json,mostly-true,"['time', 'histori', 'debt', 'higher', 'end', 'world', 'war', 'ii', '.']"
10039.json,mostly-true,"['cost', 'health', 'care', 'single-biggest', 'factor', 'drive', 'feder', 'budget', 'deficit', '.']"
2166.json,true,"['recess', ',', 'consum', 'nativ', 'pervers', 'begun', 'save', '.', 'save', 'rate', '<num>', 'percent', '.']"
1978.json,false,"['whether', 'u.s.', 'suprem', 'court', 'nomine', 'forthcom', 'confirm', 'hear', '.']"
3005.json,barely-true,"['say', 'one', 'three', 'u.s.', 'homeless', 'men', 'veteran', '.']"
9165.json,false,"['say', 'charli', 'crist', 'support', 'cut', 'medicar', 'advantag', 'program', '.']"
2109.json,half-true,"['think', 'unaccept', 'chines', 'today', 'larger', 'wind', 'power', 'solar', 'panel', 'photovolta', 'manufactur', 'europ', 'put', 'togeth', '--', 'forget', 'unit', 'state', '.']"
10053.json,true,"['say', 'scott', 'brown', 'co-sponsor', 'legisl', 'let', 'employ', 'deni', 'women', 'coverag', 'birth', 'control', '.']"
9613.json,half-true,"['point', 'live', ',', '<num>', '%', 'women', 'use', 'birth', 'control', '.']"
3146.json,false,"['past', '<num>', 'year', ',', 'egypt', 'made', 'great', 'stride', 'polit', 'democrat', 'reform', '.']"
8755.json,false,"['amount', 'attent', 'paid', 'week', 'chri', 'christi', 'make', 'coverag', 'benghazi', '...', 'pale', 'signific', '.']"
9989.json,true,"['say', 'u.s.', 'rep.', 'steve', 'southerland', 'vote', 'keep', 'shutdown', 'go', '.']"
2044.json,half-true,"['rick', 'perri', 'texa', ',', 'import', 'nurs', '...', 'countri', '.']"
11657.json,mostly-true,"['feder', 'crimin', 'law', 'say', 'crime', 'transport', 'dentur', 'across', 'state', 'line', '.']"
11131.json,mostly-true,"['built', 'new', 'prison', 'everi', '<num>', 'day', '<num>', '<num>', 'keep', 'mass', 'incarcer', 'explos', 'nonviol', 'offend', '.']"
767.json,barely-true,"['sen.', 'mccain', ""'s"", 'tax', 'plan', 'provid', '``', 'virtual', 'noth', 'middl', 'class', '.', ""''""]"
10263.json,false,"['austin', 'burden', 'fastest-grow', 'tax', 'increas', 'major', 'citi', 'nation', '.']"
1969.json,false,"['phoenix', ',', 'arizona', ',', '.', '<num>', 'kidnap', 'capit', 'world', '.']"
10386.json,true,"['belong', 'afl-cio', '.']"
2020.json,mostly-true,"['insur', 'commission', 'cant', 'squat', 'health', 'care', '.']"
4264.json,half-true,"['say', 'poll', 'found', 'republican', 'candid', 'could', 'beat', 'barack', 'obama', 'texa', '--', 'eight', 'point', '.']"
6359.json,barely-true,"['presid', 'ronald', 'reagan', 'sent', 'troop', 'conflict', 'one', 'circumst', ',', 'grenada', 'peacekeep', 'set', 'lebanon', '.']"
8931.json,barely-true,"['say', 'david', 'jolli', 'support', 'privat', 'social', 'secur', '.']"
9213.json,true,"['know', 'us', 'popul', 'growth', 'lowest', 'sinc', 'great', 'depress', '?']"
7599.json,mostly-true,"['averag', 'student', 'florida', ',', 'actual', 'pay', 'pocket', 'major', 'univers', 'tuition', 'much', 'less', 'spend', 'cellphon', '.']"
7258.json,true,"['sinc', '<num>', ',', 'american', 'die', 'gunfir', 'die', 'war', 'countri', 'histori', '.']"
7128.json,mostly-true,"['foreclosur', 'tax', 'would', 'take', 'effect', '<num>', 'could', 'mean', 'high', 'tax', 'bill', 'face', 'foreclosur', 'million', 'famili', 'modifi', 'mortgag', 'short', 'sale', 'lender', '.']"
5667.json,false,"['florida', 'depart', 'agricultur', 'websit', 'freshfromflorida.com', 'use', 'get', 'permit', 'carri', 'load', 'hidden', 'gun', 'without', 'ever', 'leav', 'hous', '.']"
4170.json,pants-fire,"['atlanta', 'streetcar', 'expect', 'creat', '<num>', 'job', 'construct', ',', 'total', '<num>', 'job', 'next', '<num>', 'year', '.']"
